id,name
B65303,AstraZeneca PLC
94A811,Novartis AG
AE0DB4,ENI S.p.A.
789D88,Banco Bilbao Vizcaya Argentaria S.A.
D01300,TotalEnergies SE
DD394F,Ferrari N.V.
F15E41,Tenaris S.A.
C12ED9,Nokia Corp.
33057B,Stellantis N.V.
21153F,Aegon Ltd.
DD92E7,Bayer AG
AFCFF2,ASML Holding N.V.
92589A,Gedeon Richter Nyrt.
89054D,Saipem S.p.A.
73B927,Barclays PLC
F13DEB,Aselsan Elektronik San. Ve Tic. A.S.
394E6A,Vodafone Group PLC
388C37,Investor AB
09DDC4,NatWest Group PLC
DB5E90,Rio Tinto PLC
FFC922,Enka Insaat ve Sanayi A.S.
9BA7AA,Turkiye Garanti Bankasi A.S.
A1A4EE,Türkiye Petrol Rafinerileri A.S.
AE0271,Marel hf.
5C3A5C,BIM Birlesik Magazalar AS
47718F,Turkish Airlines Inc.
F5E860,Akbank T.A.S.
895B74,KOC Holding A.S.
DA63FE,Skandinaviska Enskilda Banken AB
4EAA76,EQT AB
3DC70D,Ford Otomotiv Sanayi A.S.
EB5D45,Ryanair Holdings PLC
629ACD,Turkiye Is Bankasi A.S.
D7EAC4,Turkiye Vakiflar Bankasi T.A.O.
128F1B,Yapi ve Kredi Bankasi A.S.
9B16D5,Deutsche Bank AG
BC9793,HSBC Holdings PLC
01D03F,Roche Holding AG
15D3E7,Turkiye Halk Bankasi A.S.
890255,Shell PLC
CD3691,Nestle S.A.
73B0E0,Turkcell Iletisim Hizmetleri A.S.
D3A095,Islandsbanki hf.
B73B08,argenx SE
E0427E,GSK PLC
7C37A3,Eregli Demir ve Celik Fabrikalari T.A.S.
18A43F,Komercni Banka A.S.
E43B87,Turk Telekomunikasyon A.S.
C74288,Siemens AG
DC9BEC,Sabanci Holding A.S.
689494,Coca-Cola Icecek A.S.
29C6BF,Inditex
CNFFMP,Sildarvinnslan hf
BC8373,Banco Santander S.A.
823D23,Gubre Fabrikalari T.A.S.
7ED6E7,Essity AB
5FC63E,ABB Ltd.
1FA886,Airbus SE
6D064B,Brim hf.
1A1ED9,Siemens Energy AG
80D76F,PDD Holdings Inc.
C4073B,Eaton Corp. PLC
95805E,Enerjisa Enerji A.S.
E2C0F3,Turk Altin Isletmeleri AS
AB4B9A,Safran S.A.
ED869A,Iberdrola S.A.
550034,Turkiye Sise Ve Cam Fabrikalari A.S.
2F75E0,Koninklijke Philips N.V.
5E9547,Tofas Turk Otomobil Fabrikasi A.S.
C8FAC7,Anheuser-Busch InBev NV
5930DD,British American Tobacco PLC
DE27F9,Chubb Ltd.
2D469F,BP PLC
1AC3ED,Iskenderun Demir Ve Celik A.S.
188CAC,Unilever PLC
91B8B1,Accenture PLC
B76277,Air Liquide S.A.
239066,Investment AB Latour
EA436E,TAV Havalimanlari Holding A.S.
8C005F,Oyak Cimento Fabrikalari A.S.
6E9442,Enel S.p.A.
B77AF6,UniCredit S.p.A.
E68733,Medtronic PLC
7C5E15,Zurich Insurance Group AG
A7C367,Migros Ticaret A.S.
F11C7D,SASA Polyester Sanayi A.S.
894CB4,Allegro.eu S.A.
417431,Equinor ASA
72BEB6,Intesa Sanpaolo S.p.A.
442587,BNP Paribas S.A.
B72D2E,EssilorLuxottica SA
08A463,Anadolu Efes Biracilik ve Malt Sanayii A.S.
51M43D,Ziraat Gayrimenkul Yatirim Ortakligi AS
86170D,Spotify Technology S.A.
E6C332,Industrivarden AB
5B9E0F,Aksa Enerji Uretim AS
FFF3BE,AXA S.A.
697402,MONETA Money Bank A.S.
A473AE,Compagnie Financiere Richemont S.A.
FUBDT6,InvestCo Holding AS
F837A5,ING Groep N.V.
5A6336,Trane Technologies PLC
AE8D72,Christian Dior SE
D33270,BAE Systems PLC
840033,Pegasus Hava Tasimaciligi AS
A28C54,Vinci S.A.
0E1492,Glencore PLC
C4452A,National Grid PLC
A8A146,Engie S.A.
05E615,Rheinmetall AG
F0F3E1,CaixaBank S.A.
1D0E24,UBS Group AG
314E5A,Munich Re
99333F,Johnson Controls International PLC
C283EF,L E Lundbergfoeretagen AB
E317E0,Novo Nordisk A/S
C9DABA,Aker ASA
77579C,SpareBank 1 Sør-Norge ASA
F750A8,RELX PLC
61B740,Lloyds Banking Group PLC
8A3FC9,Nordnet AB
4DCAC6,Emlak Konut GYO AS
744690,Arcelik A.S.
E467C9,Borusan Birlesik Boru Fabrikalari Sanayi ve Ticaret A.S.
5A52D4,EIS Eczacibasi Ilac San. Ve Tic. AS
16AD58,CRH PLC
C5EF8D,Aon PLC
262D73,AG Anadolu Grubu Holding A.S.
A5C69D,Assicurazioni Generali S.p.A.
93284C,Fastighets AB Balder
B49AB7,Thales S.A.
C21F26,Osram Licht AG
A8B51F,Borusan Yatirim ve Pazarlama A.S.
F045FF,OMV Petrom S.A.
1C7FFE,Deutsche Post AG
60F8A4,TE Connectivity PLC
3A2757,E.ON SE
D819BE,Nordea Bank Abp
F4D7DB,UCB S.A.
EC210B,Infineon Technologies AG
8FFD2D,London Stock Exchange Group PLC
524322,DSV A/S
A42637,Prosus N.V.
995014,Avanza Bank Holding AB
0E64D4,Credit Agricole S.A.
9C7B0D,KGHM Polska Miedz S.A.
B115EF,Societe Generale S.A.
C24FAF,Deutsche Boerse AG
C7FC95,Orange S.A.
AB7AB7,Electricite de France S.A.
40DA5A,Fortnox AB
3E149C,Danone S.A.
7DB9AC,Colt CZ Group SE
C5F463,BASF SE
580353,Petkim Petrokimya Holding A.S.
6E5E72,KBC Groep N.V.
1C9F48,Volvo AB
67A658,Anglo American PLC
B753B1,Dogan Sirketler Grubu Holding A.S.
264398,BMW Group
M1IY57,Anglogold Ashanti PLC
B1977A,Selcuk Ecza Deposu Ticaret ve Sanayi A.S.
9EF918,RWE AG
351EC3,NXP Semiconductors N.V.
C399C1,Compass Group PLC
A84DC3,Swiss Re Ltd.
554255,Sandvik AB
26BE9B,Holcim Ltd.
3BA4B2,Diageo PLC
E3FC9C,Standard Chartered PLC
F9F51C,Otokar Otomotiv ve Savunma Sanayi A.S.
19ACAF,Siemens Healthineers AG
D21EF3,Garmin Ltd.
316E5D,Ferguson Enterprises Inc.
6F02DF,DNB Bank ASA
E48344,Endesa S.A.
0B5C3C,Aena SME S.A.
1A1E26,S.N.G.N. Romgaz S.A.
5EF3A1,Lonza Group AG
A85490,Heineken N.V.
13DB45,Turk Traktor ve Ziraat Makineleri A.S.
B2AA0A,Erste Group Bank AG
4EB77D,Reckitt Benckiser Group PLC
2A577D,Sweco AB
FB49DF,SSE PLC
CDE42A,Swisscom AG
7677AE,Dogus Otomotiv Servis ve Ticaret A.S.
38970C,Mycronic AB
127021,Koninklijke Ahold Delhaize N.V.
54C679,Ferrovial SE
E61E5B,Coca-Cola Europacific Partners PLC
6B2371,ALK-Abello A/S
5176ED,Leonardo S.p.A.
335ABA,ArcelorMittal S.A.
FA4263,Tesco PLC
A52060,Legrand S.A.
F5221C,Danske Bank A/S
6EA269,Commerzbank AG
3478EA,Aksa Akrilik Kimya Sanayii A.S.
840EAB,Compagnie de Saint-Gobain S.A.
890F10,Lagercrantz Group AB
3EE835,Alarko Holding A.S.
495C6B,Banca Transilvania S.A.
A13149,ASSA ABLOY AB
4F51A6,Swedbank AB
74933B,ASM International N.V.
4368A6,Kongsberg Gruppen ASA
C69A57,Hafnia Ltd.
CBB84D,ACS S.A. (Spain)
DE344E,Kering S.A.
CC7BE5,Hannover Rueck SE
3ED7D4,Nuh Cimento Sanayi AS
VG3TB5,Daimler Truck Holding AG
52D936,Prudential PLC
354977,Philip Morris CR A.S.
33D96A,3i Group PLC
DE2196,Saab AB
P4QYNH,Universal Music Group N.V.
351512,Prysmian S.p.A.
80B32C,Heidelberg Materials AG
675376,Telefonaktiebolaget LM Ericsson AB
203E0E,Sparebanken Norge Co.
E0AD75,Antofagasta PLC
AD713F,Olav Thon Eiendomsselskap ASA
